Programområdekode,Utdanningsprogram,Programområde,2022,2023,2024
ELTAV3,Elektro og datateknologi,ELTAV3 - Tavlemontørfaget,108.0,128.0,134.0
ELTEL3,Elektro og datateknologi,ELTEL3 - Telekommunikasjonsmontørfaget,491.0,461.0,447.0
ELTOG3,Elektro og datateknologi,ELTOG3 - Togelektrikerfaget,13.0,17.0,13.0
ELVEN3,Elektro og datateknologi,ELVEN3 - Ventilasjonsteknikkfaget,26.0,63.0,73.0
ELVIK3,Elektro og datateknologi,ELVIK3 - Viklerfaget,5.0,13.0,13.0
FD,"Frisør, blomster, interiør og eksponeringsdesign",Alle programområder,391.0,741.0,889.0
FDBLD3,"Frisør, blomster, interiør og eksponeringsdesign",FDBLD3 - Blomsterdekoratørfaget,52.0,89.0,91.0
FDFRI3,"Frisør, blomster, interiør og eksponeringsdesign",FDFRI3 - Frisørfaget,326.0,618.0,757.0
FDMPM3,"Frisør, blomster, interiør og eksponeringsdesign",FDMPM3 - Maskør- og parykkmakerfaget,1.0,2.0,2.0
FDPFD3,"Frisør, blomster, interiør og eksponeringsdesign",FDPFD3 - Profileringsdesignfaget,12.0,32.0,39.0
HS,Helse- og oppvekstfag,Alle programområder,7910.0,7538.0,7405.0
HSAKT3,Helse- og oppvekstfag,HSAKT3 - Aktivitørfaget,6.0,19.0,21.0
HSAMB3,Helse- og oppvekstfag,HSAMB3 - Ambulansefaget,407.0,418.0,436.0
HSBUA3,Helse- og oppvekstfag,HSBUA3 - Barne- og ungdomsarbeiderfaget,3183.0,2862.0,2700.0
HSHEA3,Helse- og oppvekstfag,HSHEA3 - Helsearbeiderfaget,4247.0,4169.0,4172.0
HSORT3,Helse- og oppvekstfag,HSORT3 - Ortopediteknikkfaget,16.0,16.0,20.0
HSPOR3,Helse- og oppvekstfag,HSPOR3 - Portørfaget,51.0,54.0,56.0
DT,"Håndverk, design og produktutvikling",Alle programområder,66.0,117.0,166.0
DTBKF3,"Håndverk, design og produktutvikling",DTBKF3 - Bøkkerfaget,,,1.0
DTBLY3,"Håndverk, design og produktutvikling",DTBLY3 - Blyglasshåndverkerfaget,1.0,1.0,2.0
DTBUN3,"Håndverk, design og produktutvikling",DTBUN3 - Bunadtilvirkerfaget,7.0,9.0,17.0
DTFGY3,"Håndverk, design og produktutvikling",DTFGY3 - Forgyllerfaget,1.0,1.0,1.0
DTFIL3,"Håndverk, design og produktutvikling",DTFIL3 - Filigransølvsmedfaget,3.0,3.0,1.0
DTGBF3,"Håndverk, design og produktutvikling",DTGBF3 - Glassblåserfaget,4.0,5.0,4.0
DTGIP3,"Håndverk, design og produktutvikling",DTGIP3 - Gipsmakerfaget,1.0,,1.0
DTGRF3,"Håndverk, design og produktutvikling",DTGRF3 - Gravørfaget,1.0,1.0,
DTGUL3,"Håndverk, design og produktutvikling",DTGUL3 - Gullsmedfaget,1.0,2.0,5.0
DTHBB3,"Håndverk, design og produktutvikling",DTHBB3 - Håndbokbinderfaget,,0.0,
DTHMD3,"Håndverk, design og produktutvikling","DTHMD3 - Horn-, bein- og metallduodjifaget",2.0,3.0,1.0
DTHSK3,"Håndverk, design og produktutvikling",DTHSK3 - Herreskredderfaget,1.0,1.0,
DTHVF3,"Håndverk, design og produktutvikling",DTHVF3 - Håndveverfaget,,,1.0
DTKBB3,"Håndverk, design og produktutvikling",DTKBB3 - Komposittbåtbyggerfaget,,2.0,
DTKER3,"Håndverk, design og produktutvikling",DTKER3 - Keramikerfaget,2.0,4.0,2.0
DTKJD3,"Håndverk, design og produktutvikling",DTKJD3 - Kjole- og draktsyerfaget,9.0,18.0,23.0
DTKRV3,"Håndverk, design og produktutvikling",DTKRV3 - Kurvmakerfaget,,,1.0
DTKST3,"Håndverk, design og produktutvikling",DTKST3 - Kostymesyerfaget,,2.0,6.0
DTMBT3,"Håndverk, design og produktutvikling",DTMBT3 - Møbeltapetsererfaget,1.0,3.0,5.0
DTMSF3,"Håndverk, design og produktutvikling",DTMSF3 - Møbelsnekkerfaget,15.0,28.0,40.0
DTORG3,"Håndverk, design og produktutvikling",DTORG3 - Orgelbyggerfaget,1.0,1.0,1.0
DTREP3,"Håndverk, design og produktutvikling",DTREP3 - Repslagerfaget,,1.0,1.0
DTSAL3,"Håndverk, design og produktutvikling",DTSAL3 - Salmakerfaget,1.0,1.0,1.0
DTSEI3,"Håndverk, design og produktutvikling",DTSEI3 - Seilmakerfaget,,,2.0
DTSKO3,"Håndverk, design og produktutvikling",DTSKO3 - Skomakerfaget,,1.0,2.0
DTSLV3,"Håndverk, design og produktutvikling",DTSLV3 - Sølvsmedfaget,,1.0,1.0
DTSME3,"Håndverk, design og produktutvikling",DTSME3 - Smedfaget,3.0,4.0,3.0
DTSPD3,"Håndverk, design og produktutvikling",DTSPD3 - Skinn- og pelsduodjifaget,3.0,2.0,5.0
DTTED3,"Håndverk, design og produktutvikling",DTTED3 - Tekstilduodjifaget,,2.0,6.0
DTTKS3,"Håndverk, design og produktutvikling",DTTKS3 - Taksidermistfaget,1.0,,2.0
DTTRB3,"Håndverk, design og produktutvikling",DTTRB3 - Trebåtbyggerfaget,3.0,9.0,15.0
